TEXT,REACTION
this is why i don’t talk much anymore,negative
brooooooo 😂,positive
"idk, i felt kinda seen for once",positive
you being here makes it better 🫠,positive
"yo, that was real",positive
can we not overthink this one time?,negative
ugh 😤,negative
lowkey one of my fav convos ever,positive
don’t even know what to say,neutral
yo that joke sent me 😂💀,positive
bro chill 😩,neutral
"not gonna lie, i needed that",positive
this convo hit way too close 🫠,negative
can’t explain why but this helped,positive
hearing that changed everything 🥹,positive
ugh can we not do this again 😩,negative
lol you really said that huh 😂,positive
yo,neutral
still processing that whole convo,neutral
"i get it now, kinda late but yeah",positive
ok now i’m actually nervous 🫠,negative
you handled that better than i would’ve tbh,positive
ngl felt a bit weird after you said that,negative
you still there?,neutral
i can’t believe how real that felt 💀,negative
thank you for not giving up on me 🥹,positive
yo this playlist is hitting hard,positive
bruh what even was that 😶‍🌫,neutral
i literally forgot it was today 😭,negative
you showed up for me when no one else did,positive
ehhh not a fan of how that ended,negative
lololol that was hilarious 🤣,positive
i’m just here eating maggi at 2am,neutral
bro it’s not that deep fr,negative
this feels like a fever dream 💀,neutral
you actually understood what i meant 😳,positive
i don’t wanna talk abt it rn,negative
you’re the reason i’m still sane this week,positive
nah i didn’t mean it like that,negative
weird flex but ok 🤷‍♂,neutral
just needed to vent for a sec,neutral
ok but why did that make me smile,positive
lowkey thought i was gonna cry there,negative
the way you handled that 👏👏,positive
felt like i was the only one confused,negative
you give such calm energy sometimes,positive
brooo that timing was insane 😂😂,positive
wish i could explain this feeling tbh,neutral
"you can tell me, i won’t judge",positive
it’s always me saying sorry first 😤,negative
that was accidentally deep of you ngl,positive
"nah man, that was so unnecessary",negative
literally walked into chaos and walked back out,neutral
i wanna relive that day tbh 🥹,positive
"it’s not your fault, seriously",positive
i kinda regret not saying it earlier,negative
this doesn’t feel real rn 🫠,negative
yo chillll 😭😭😭,neutral
i thought i’d be fine by now,negative
thanks for just listening fr,positive
dude we need to catch up properly soon,neutral
bruh how do you always make it weird 😤,negative
nah i needed that chaos ngl 😂,positive
kinda peaceful today not gonna lie,positive
idk if i wanna talk or sleep,neutral
soooo… that was intense 😅,neutral
you never fail to surprise me fr,positive
i don’t feel like explaining myself again,negative
lowkey wish i didn’t see that message,negative
i appreciate how chill you were abt it,positive
"i can’t even be mad, you were right",positive
let’s not ruin this vibe pls,positive
still thinking about that random convo from last week,neutral
you were literally the only one who noticed 🥲,positive
nah you can’t say that and leave 😭,negative
sometimes silence is the reply,neutral
okay now i’m worried lol,negative
the way you laughed made me laugh too 😂,positive
"eh, not surprised tbh",neutral
i’m okay just… tired,negative
you actually care huh 😳,positive
"just needed to hear that, thanks",positive
why did that feel weirdly comforting 🫶,positive
ugh i hate being this dramatic 😩,negative
i zoned out halfway and nodded anyway 😂,neutral
man this week’s been a rollercoaster,neutral
i felt seen for the first time in ages,positive
ok but why is this so wholesome,positive
you left me on read AGAIN,negative
you know you’re my safe space right,positive
still not over what happened tbh,negative
that chai hit different today ☕,positive
my brain is not braining rn 😵‍💫,negative
you were right but did you have to be?? 😤,negative
that text healed something in me ngl,positive
you always show up when it matters,positive
can we pls not overthink everything,neutral
felt like a main character for once 🥹,positive
why is 2am the only honest hour,neutral
i just wanted a little effort,negative
how are you so patient with me 😭,positive
bro this is so random i love it 😂,positive
don’t mind me crying at memes rn,neutral
"same energy, different chaos 💀",neutral
this was so needed ngl,positive
you literally saved my evening today,positive
i’ve reread that message like 5 times 🥹,positive
don’t know how to feel rn tbh,neutral
"can’t even lie, that hurt a little",negative
you made that moment feel safe,positive
you had me smiling like a fool 😅,positive
we need more convos like that fr,positive
that escalated so fast 💀,negative
you handled that so maturely,positive
ok now i’m curious what u meant 😶‍🌫,neutral
kinda wish i didn’t know tbh,negative
hey i really appreciate you,positive
i’ll pretend i didn’t see that 😭,neutral
"that was too real, ouch",negative
your calm texts always fix me 🧘,positive
ok ok chill,neutral
"that was too real, ouch",negative
nah not today 😤,negative
you showed up for me when no one else did,positive
what even,neutral
pain.,negative
pls no 😭,negative
you good?,neutral
pls go,negative
you being real with me was actually refreshing tbh,positive
sweet 😅,positive
bye ig,neutral
just needed to hear someone say it’s okay yk,negative
yo that silence in the middle of the convo said a LOT,neutral
pls reply,neutral
don’t care,negative
real.,positive
you too,positive
don’t ask,negative
damn hot,neutral
how do you manage to be funny and deep at the same time 😤,positive
you didn’t even check on me,negative
felt like a main character for once 🥹,positive
you had me smiling like a fool 😅,positive
love this,positive
you really did that huh 😳,neutral
as if,negative
legit 💀,neutral
you always show up when it matters,positive
on read huh,negative
can’t believe i let one small thing ruin my whole mood 😶‍🌫,negative
same 😭,neutral
say less,neutral
that text healed something in me ngl,positive
that hit,negative
i knew this would happen but i still hoped it wouldn’t,negative
wait what,neutral
this conversation lowkey healed something in me 🫶,positive
ikr,positive
whatever 🙄,negative
yo bro,neutral
"i’ll be real, you didn’t have to say anything — your silence said more than enough",negative
sure 😂,positive
you literally saved my evening today,positive
not funny 😤,negative
i hate how much sense that actually made 😭,neutral
"nah man, this feels weird now",negative
that escalated so fast 💀,negative
stopppp,neutral
your calm texts always fix me 🧘,positive
stop ghosting mid-argument bruh 😒,negative
"don’t say you’re fine when you’re clearly not, i can tell",negative
ok now i’m curious what u meant 😶‍🌫,neutral
"yo, i swear you're chaotic",negative
that chai hit different today ☕,positive
go on,neutral
idk anymore,negative
thank you for not giving up on me 🥹,positive
nah this ain’t it chief 🤡,negative
you were literally the only one who noticed 🥲,positive
that was accidentally deep of you ngl,positive
stopppp omg 😂😂😂,positive
yo,neutral
lol cute,positive
why me 😭,negative
still mad?,negative
ugh not again 😩,negative
not now,negative
same fr,positive
hi lol,neutral
fine 😂,neutral
idk 😩,negative
kinda peaceful today not gonna lie,positive
tf bro,negative
i hate how that made me feel,negative
this convo hit way too close 🫠,negative
you didn’t reply but i know you saw it lol,neutral
i appreciate how chill you were abt it,positive
ugh,negative
this is the most peaceful i’ve felt in weeks 🧘‍♀✨,positive
lol fr,positive
nah i hate how much i care about this stupid thing,negative
nah i needed that chaos ngl 😂,positive
you give such calm energy sometimes,positive
bye,neutral
ugh bye,negative
you’re the reason i’m still sane this week,positive
weird huh,neutral
lowkey scared,negative
done.,negative
that moment felt like something out of a movie,positive
you give such calming energy without even trying,positive
"why do i feel everything so deeply, it’s exhausting",negative
you being here makes it better 🫠,positive
bro chill 😩,neutral
stop making me feel like i’m too much for asking basic things,negative
you good?,neutral
bruh,neutral
you didn’t even check on me 😒,negative
same energy,neutral
ok?,neutral
you handled that so maturely,positive
you still there?,neutral
this doesn’t feel real rn 🫠,negative
cool,positive
you handled that better than i would’ve tbh,positive
still feels a little off,negative
still thinking about what you said,neutral
brooooooo 😂,positive
you ever cry and laugh at the same time or is that just me 😭😂,neutral
"that convo made me feel human again, if that makes sense 😅",positive
ugh ✨,neutral
you actually understood what i meant 😳,positive
"yo, that was real",positive
still thinking about that random convo from last week,neutral
"we should do more 2am deep talks, those actually hit different 🥲",positive
man this week’s been a rollercoaster,neutral
ok now i’m actually nervous 🫠,negative
you were right but did you have to be?? 😤,negative
this week’s been one giant emotional rollercoaster 😵‍💫,negative
you never fail to surprise me fr,positive
okay then,neutral
you didn’t reply but i know you saw it lol,neutral
we need more convos where we laugh and cry within 5 mins lol,positive
you know what? forget it. i’m done trying,negative
lowkey one of my fav convos ever,positive
yo this playlist is hitting hard,positive
omg you nailed it today! 🔥,positive
idk what’s going on 😑,negative
"ok, cool. let’s see",neutral
"ugh, not again… why is this happening 😩",negative
this is actually amazing 🤯,positive
"alright, I’ll check it out",neutral
I’m so proud of you 💖,positive
dude... I can’t even 😤,negative
"sure, take your time",neutral
best thing I’ve seen all week 😂,positive
I literally can't deal with this rn 😤,negative
"thanks, that means a lot 💕",positive
lol whatever 😂,neutral
that’s just how it goes sometimes,neutral
I’m so done with this 🙄,negative
bruhh that’s insane 😆,positive
"I’m not mad, just disappointed 😞",negative
"cool, no rush",neutral
you always know how to cheer me up 😊,positive
I hate everything about today,negative
wow… didn’t expect that at all 😳,neutral
"honestly, you crushed it 💯",positive
this whole thing is stressing me out 😵‍💫,negative
"alrighty, let’s roll 😎",positive
"meh, I’ve seen better",neutral
pls stop texting me 😐,negative
bro you’re on fire 🔥,positive
yeah sure… whatever 😒,negative
"okay okay, no drama 😅",neutral
can’t stop smiling rn 😊,positive
haha this cracked me up 🤣,positive
"wow you really don’t get it, do you? 😐",negative
yeah idk what to say lol,neutral
you’re the best thing ever 🥹,positive
why is this happening again 😓,negative
I’ll think about it,neutral
I seriously can’t thank you enough ❤,positive
stop assuming things 🙄,negative
noted. will let you know,neutral
I’m over the moon rn 🌕,positive
ugh this again?? 😩,negative
haha love that for you 😄,positive
I don’t really care anymore,neutral
just wow. so rude 😠,negative
can’t believe how great that felt ✨,positive
I’ll get back to you soon,neutral
you seriously saved my day ☀,positive
whatever. I’m tired of explaining myself,negative
fine by me,neutral
that made my week 😭,positive
this is beyond frustrating,negative
"thanks a ton, you’re awesome 🙌",positive
alright then,neutral
can you not?? 😠,negative
I can’t stop laughing 😂,positive
hmmm not sure what to say,neutral
you’ve got this 💪,positive
that’s so disrespectful 😤,negative
let’s circle back on that later,neutral
I really needed to hear that 🥲,positive
"you don’t even care, do you? 😒",negative
haha that’s too good 😂,positive
ehh it’s whatever,neutral
honestly I’m hurt you said that 😞,negative
that’s so sweet of you 🥰,positive
"sure, I’ll take a look later",neutral
why do I even bother 🙃,negative
yayyy you did it!!! 🎉,positive
not sure how I feel tbh,neutral
wow that was rude 😠,negative
you’re such a gem 💎,positive
cool cool cool,neutral
I’m exhausted by this whole thing 😫,negative
that’s exactly what I needed today 🥹,positive
hmm ok then,neutral
please leave me alone,negative
omg you absolute legend 🤯,positive
not what I expected 😐,neutral
this is giving me anxiety 😰,negative
let’s celebrate! 🎊,positive
alright... if you say so,neutral
I’m so disappointed right now 😞,negative
couldn’t be happier for you 💖,positive
I mean it’s fine I guess,neutral
I feel so betrayed 😢,negative
that was beautiful 😍,positive
meh. seen worse,neutral
stop messing with my head 😤,negative
"proud of you, buddy 💪",positive
maybe later,neutral
ughhh I'm done trying 😞,negative
I can’t believe that actually worked! 😲,positive
cool beans,neutral
you totally ignored me 🤨,negative
I appreciate you big time 🫶,positive
we’ll talk later,neutral
my mood is ruined now 😤,negative
you made my whole day 😍,positive
got it,neutral
lowkey crying rn 😢,negative
that makes me so happy 😄,positive
noted 👍,neutral
I can’t even deal rn 😩,negative
you da best 🥳,positive
nothing special tbh,neutral
I wish you cared more 😓,negative
this just made my week 🫶,positive
hmm okay 🤔,neutral
I’m mad disappointed tbh 😔,negative
that’s freaking incredible 🤯,positive
"ok, see you",neutral
that was low-key mean 😐,negative
couldn’t stop smiling all day 😁,positive
whatever you say,neutral
stop being like that 😠,negative
you just made my heart full 🥹,positive
I’ll consider it,neutral
now I’m annoyed 🙄,negative
best feeling ever!! ✨,positive
hmm alright,neutral
that kinda hurt ngl 🥲,negative
"honestly, this made my day 🌈",positive
maybe we’ll see,neutral
can’t believe this is real 😵,negative
happiest moment ever 🥳,positive
all good,neutral
it’s always something smh 😤,negative
you’re glowing today ✨,positive
meh. okay then,neutral
I hate everything rn 😡,negative
that was a beautiful gesture 💐,positive
whatever works,neutral
I’m so annoyed right now 😖,negative
you bring me joy 🥰,positive
"that’s fine, I guess",neutral
sigh… this sucks 😔,negative
that’s insanely cool 🤘,positive
"yeah, that’s alright",neutral
really not in the mood today 🙃,negative
omg I love this so much 😭,positive
makes sense,neutral
why is everything going wrong 😩,negative
"you crushed it, superstar 🌟",positive
cool with me,neutral
I feel ignored 🙁,negative
"wow, just wow 🥳",positive
sounds fair,neutral
I'm spiraling 😵‍💫,negative
that was legit amazing 🙌,positive
it's okay I guess,neutral
you ghosted me again 🙄,negative
you made my heart smile today 🥰,positive
just another typical day,neutral
you don’t even listen 😒,negative
this gave me so much joy 🧡,positive
that’s alright,neutral
seriously over this drama 😤,negative
you’re a blessing fr 🙌,positive
whatever works for you,neutral
today has been a disaster 😣,negative
you always have the best energy ✨,positive
yeah I guess so,neutral
I can’t keep pretending I’m okay 🥲,negative
your kindness means everything 💖,positive
I'm fine. Really.,neutral
stop acting fake 😐,negative
you lit up the whole room 🌟,positive
hmm. not sure what to think,neutral
I feel totally invisible 😔,negative
that hug meant the world to me 🫂,positive
we'll see how it goes,neutral
I’m really upset right now,negative
best moment ever 😍,positive
makes no difference to me,neutral
totally not okay with this 😤,negative
can’t stop smiling like an idiot 😅,positive
"it’s whatever, I guess",neutral
that was super uncalled for 😠,negative
your message made my day ☀,positive
fine. whatever.,neutral
"wow, you really hurt me this time",negative
couldn’t ask for better 💫,positive
I’ll think about it,neutral
tired of being the backup option 😒,negative
you make everything better 🧸,positive
can’t say I care,neutral
completely drained rn 🥱,negative
I’m beaming right now 😊,positive
makes no real difference,neutral
why do you always do this 😖,negative
couldn’t be more proud 💥,positive
yeah. fine.,neutral
I hate that I even tried 😠,negative
you make me feel safe 🛡,positive
nothing new here,neutral
not gonna lie… that hurt 🥺,negative
that meant more than you know 💓,positive
just gonna stay quiet,neutral
you said you’d be there… 😞,negative
I’m so lucky to have you 😭,positive
whatever you want,neutral
that was a cold move 🧊,negative
you light up my whole vibe 😎,positive
fine by whatever,neutral
you made things so much worse 😩,negative
thank you for today 💐,positive
I’ll leave it there,neutral
wow that was cruel 😣,negative
you lifted me up when I was down 🪁,positive
either way is cool,neutral
everything’s falling apart today 😩,negative
I’m glowing after reading that 😍,positive
just tell me straight,neutral
you completely blew me off,negative
this made me feel special 🌷,positive
that’s not saying much though,neutral
beyond irritated rn 😠,negative
your support means the world 💛,positive
kind of whatever to me,neutral
I feel so left out,negative
so proud of how far you’ve come 👏,positive
I’m not really sure what to think,neutral
just stop already,negative
I loved every second of it 🥰,positive
it’s okay either way,neutral
this is getting ridiculous 😤,negative
that compliment made my day ✨,positive
I can’t promise anything though,neutral
you’re never really there for me,negative
felt really valued just now 🙌,positive
let me think about it,neutral
wow that stung more than I expected,negative
my heart is so full rn ❤,positive
it’s not a big deal,neutral
I’m honestly tired of repeating myself,negative
your message gave me chills 🥹,positive
whatever you feel is best,neutral
done pretending like it’s fine 😐,negative
I’m genuinely touched 🫶,positive
maybe... maybe not,neutral
this whole thing feels off,negative
can’t stop smiling like a fool 😄,positive
it doesn’t matter much to me,neutral
I feel super ignored lately,negative
that was the cutest thing ever 😍,positive
hmm... undecided,neutral
not cool at all 😠,negative
I felt really seen today ☀,positive
don’t really mind either way,neutral
I hate how you brushed it off,negative
you give the warmest vibes 😊,positive
guess I’ll go with the flow,neutral
ugh you let me down again 🙁,negative
I’m feeling grateful for once 🙏,positive
don’t care too much,neutral
"not gonna lie, that hurt a bit",negative
that hit me right in the feels 😭,positive
I don’t mind waiting,neutral
that’s the third time you’ve done that,negative
omg thank youuu 🥹,positive
sounds good to me,neutral
I feel totally drained 😣,negative
just what I needed today 💫,positive
"alright, not bad",neutral
that message really hurt my heart 💔,negative
you’re seriously amazing 😍,positive
ok let’s just move on,neutral
I’m feeling really off lately,negative
this honestly made me smile 😊,positive
it's fine. no worries,neutral
that was uncalled for 😠,negative
I’m honestly touched 💛,positive
no big deal,neutral
stop making this harder than it is,negative
that was really thoughtful 💐,positive
doesn’t bother me,neutral
I’m feeling very left out lately 😞,negative
that came from the heart 💖,positive
nothing wrong with that,neutral
I feel like I don’t matter sometimes,negative
best surprise ever! 🎉,positive
hmm... that's fine,neutral
I’m done being treated this way 😡,negative
truly grateful for your help 🙏,positive
nothing else to add,neutral
why is this so difficult 😤,negative
it felt really genuine 💫,positive
"whatever happens, happens",neutral
feeling super defeated rn 😔,negative
absolutely loved that! 😄,positive
I’m indifferent at this point,neutral
not feeling heard at all,negative
I felt seen and appreciated 💕,positive
makes no huge difference to me,neutral
seriously not okay with this 😩,negative
your words meant a lot 🫶,positive
"okay, noted",neutral
that was so rude 😤,negative
I appreciate the kind words 😊,positive
let’s agree to disagree,neutral
I felt like a second choice again 😣,negative
that was so wholesome 🧡,positive
either way works,neutral
I hate how this turned out 😤,negative
absolutely amazing work 💯,positive
no particular opinion,neutral
this is not okay,negative
truly moved by your message 🥲,positive
it’s all the same to me,neutral
I’m mentally exhausted 😩,negative
that was adorable 🐣,positive
I’m good with whatever,neutral
I'm struggling to keep going 😔,negative
I genuinely admire that 💖,positive
all fine on my end,neutral
feeling extremely down today 😞,negative
your kindness is contagious 🌟,positive
I have no strong preference,neutral
I just needed someone to care,negative
omg that was perfect 🥳,positive
hmm. I suppose that's okay,neutral
that seriously hurt,negative
you’re a ray of sunshine ☀,positive
nothing major to say,neutral
I’m completely heartbroken 💔,negative
so much love for you rn 💞,positive
it’s acceptable,neutral
can’t handle this anymore 😫,negative
you’re such a light in dark times 🕯,positive
I’m on the fence about it,neutral
you promised and broke it again 😠,negative
you’ve made my day more than once 🥹,positive
doesn’t really matter to me,neutral
I’m so embarrassed about today 😣,negative
feeling super thankful 💐,positive
either way’s fine,neutral
don’t even know what to say anymore 😞,negative
forever grateful for this moment 💖,positive
I’m good with whatever you decide,neutral
that was totally out of line 😤,negative
wow you really made my heart full today,positive
I’m totally chill with that,neutral
that seriously crossed the line 😡,negative
your effort really showed today 🏆,positive
I don’t have a strong feeling,neutral
how could you say that 😔,negative
I felt so uplifted thanks to you ✨,positive
"it’s whatever, really",neutral
I honestly feel replaced 😢,negative
forever cheering you on 🥳,positive
yeah I’m neutralon that,neutral
that’s the last straw 😤,negative
I just feel really cared for rn 🥰,positive
okay then,neutral
I can’t take this much longer 😞,negative
this moment is everything 💗,positive
"alright, if you say so",neutral
emotionally drained by all this,negative
heart full of gratitude today 🫶,positive
your call,neutral
you promised and broke it again 😠,negative
you’ve made my day more than once 🥹,positive
doesn’t really matter to me,neutral
I’m so embarrassed about today 😣,negative
feeling super thankful 💐,positive
either way’s fine,neutral
don’t even know what to say anymore 😞,negative
forever grateful for this moment 💖,positive
I’m good with whatever you decide,neutral
that was totally out of line 😤,negative
wow you really made my heart full today,positive
I’m totally chill with that,neutral
that seriously crossed the line 😡,negative
your effort really showed today 🏆,positive
I don’t have a strong feeling,neutral
how could you say that 😔,negative
I felt so uplifted thanks to you ✨,positive
"it’s whatever, really",neutral
I honestly feel replaced 😢,negative
forever cheering you on 🥳,positive
yeah I’m neutralon that,neutral
that’s the last straw 😤,negative
I just feel really cared for rn 🥰,positive
okay then,neutral
I can’t take this much longer 😞,negative
this moment is everything 💗,positive
"alright, if you say so",neutral
emotionally drained by all this,negative
heart full of gratitude today 🫶,positive
your call,neutral
this really messed with my head,negative
I’ve never felt more supported 🧡,positive
no particular thoughts,neutral
absolutely over this nonsense 😠,negative
that hug saved my mood 🫂,positive
can’t say it matters much,neutral
that was pure emotional damage,negative
I’m melting from that cuteness 🐶,positive
no strong opinion,neutral
wish I never said anything 😓,negative
I’m glowing with happiness 🌞,positive
hmm okay I guess,neutral
I feel totally unheard and unseen 😔,negative
this means the world to me 💘,positive
your pick,neutral
this made me feel disposable 😞,negative
I’m feeling the love big time 🫶,positive
I suppose that’s fine,neutral
emotionally exhausted by this,negative
just wanted to say thank you 🤗,positive
yeah... no big feelings here,neutral
why are you being this way 😢,negative
happiest I’ve been all week 💫,positive
not really leaning either way,neutral
you're totally ignoring how I feel 😡,negative
I feel super cared for rn 💛,positive
let’s not stress it,neutral
that straight up sucked 😣,negative
can’t thank you enough 🙏,positive
up to you,neutral
that really crossed the line 😤,negative
I felt a deep sense of peace today 🕊,positive
totally indifferent,neutral
I feel like no one’s listening 😔,negative
this just made everything better 💖,positive
that’s fine I guess,neutral
how could you forget again? 😠,negative
overwhelmed with gratitude rn 🫶,positive
"ok, whatever you decide",neutral
I genuinely feel dismissed rn,negative
you’re a breath of fresh air 🌈,positive
I’m cool either way,neutral
this is becoming too much to handle 😩,negative
you make life a little brighter 😊,positive
alright then,neutral
I’m constantly being overlooked,negative
your words lifted my spirit today 🌟,positive
I don’t really care tbh,neutral
you really hurt my feelings today 🥺,negative
I feel genuinely appreciated rn 💛,positive
it doesn’t matter,neutral
that was pretty cold of you,negative
I’m riding high today! 🥳,positive
I’ll stay neutralon this one,neutral
can’t keep pretending I’m okay 😞,negative
this filled me with joy 💫,positive
got no opinion on that,neutral
not feeling like myself rn,negative
genuinely happy for you today 😊,positive
whatever works for you,neutral
I feel so small right now 😔,negative
I’m radiating good vibes 🌞,positive
kind of on the fence about it,neutral
that made me feel invisible 🫥,negative
you completely brightened my day 🌈,positive
no strong opinion,neutral
I’m frustrated beyond words 😠,negative
thank you for showing up for me ❤,positive
doesn’t matter much to me,neutral
another disappointment today 😒,negative
feeling all kinds of joy rn ✨,positive
I’ll just stay out of it,neutral
emotionally exhausted from this convo 😩,negative
you made my heart melt today 🥹,positive
whatever floats your boat,neutral
I’m not okay right now,negative
can’t stop smiling thanks to you 😊,positive
it doesn’t bother me,neutral
genuinely feel let down again 😢,negative
you light up every room you walk into 💫,positive
I’ll let you handle it,neutral
it’s really hurtful when you act like this,negative
my heart is full today 🫶,positive
doesn’t make a big difference,neutral
that left me completely shattered 😞,negative
I’m feeling really peaceful today ☁,positive
not leaning one way or another,neutral
felt pretty abandoned there 😔,negative
absolutely buzzing with excitement 🤩,positive
"okay, leave it with me",neutral
I really don’t know why you keep ignoring me,negative
That moment was honestly one of the best I’ve had,positive
"Not sure how to respond, but I’ll think it over",neutral
You made me feel small with that comment yesterday,negative
"You’ve been incredibly kind to me, and I appreciate it so much",positive
I guess we’ll figure it out eventually,neutral
I didn’t expect you to completely shut me out like that,negative
Your support today meant more than you could possibly know,positive
I don’t really have an opinion about this situation,neutral
I’m honestly hurt by how casually you dismissed my feelings,negative
That message genuinely lifted my spirits when I needed it most,positive
I’ll respond later once I’ve had more time to think,neutral
I'm upset that you didn’t even try to understand my point of view,negative
You seriously made me feel like I was worth something today,positive
I have no particular preference for how we move forward,neutral
It was really painful hearing those words from someone I trust,negative
I'm filled with gratitude for how you showed up for me today,positive
Let me know whenever you’re ready to chat again,neutral
I can't keep pretending like everything's fine when it's not,negative
That gesture made me feel deeply appreciated and loved,positive
I’m open to whatever you feel is best right now,neutral
"Honestly, I’m tired of being the one who cares more",negative
You made me smile in the middle of a really tough moment,positive
I think we should just take a break and breathe,neutral
It really broke me when you didn’t even say goodbye,negative
That surprise message brought tears to my eyes in the best way,positive
"I’m kind of neutral, but happy to support your choice",neutral
I’m so frustrated that you didn’t follow through again,negative
You always know just what to say to lift me up,positive
"I don’t feel strongly either way, so I’ll go with the flow",neutral
"Honestly, I’ve been feeling pretty ignored lately and it really hurts",negative
You have no idea how much that message cheered me up today,positive
I’m not sure how I feel about the whole situation just yet,neutral
I’ve tried my best but it never seems good enough for you 😞,negative
What you said earlier made me feel truly valued and understood,positive
I’ll go with whatever decision seems the most logical to you,neutral
That argument left me feeling emotionally drained for the rest of the day,negative
Seeing how much you care genuinely brightened my entire mood today 😊,positive
I’m kind of undecided but willing to hear all sides,neutral
I never expected you to walk away without even saying goodbye,negative
Your encouragement gave me the confidence I didn’t know I needed,positive
I don’t really lean one way or the other about this decision,neutral
I keep thinking about how alone I felt during that conversation 😔,negative
That thoughtful reply restored a bit of hope in my day,positive
Let’s touch base once everything settles down a bit,neutral
It’s hard not to feel completely dismissed when you say things like that,negative
"You absolutely nailed the tone—it felt warm, genuine, and reassuring 💬",positive
I’m open to discussing it further if you think it’ll help,neutral
"Every time you forget, it feels like I don’t matter at all 😣",negative
You showed such patience today and I deeply appreciate that kindness 🙌,positive
I'm neither for nor against it—just trying to stay neutral,neutral
The silence from you lately has been honestly devastating,negative
That message was like a warm hug I didn’t know I needed 🫂,positive
Let’s take it slow and see how things unfold,neutral
I’m tired of always being the one who reaches out first 😐,negative
You made me smile when my whole day felt heavy and dark 🕯,positive
"I’m still processing everything that happened, so I don’t have an answer yet",neutral
I felt completely abandoned when I needed you the most,negative
"That message brought so much warmth, I felt truly seen and loved ❤",positive
I’ll keep my thoughts to myself for now until things settle down,neutral
He tied his shoes today 👟,positive
We played catch in the yard ⚾,positive
She hugged me before school 🤗,positive
He helped fold clothes 🧺,positive
They shared their snacks 🍎,positive
Morning giggles from the baby 😄,positive
She drew a happy sun ☀️,positive
We built a fort with pillows 🛏️,positive
The kids sang together 🎶,positive
Our walk was peaceful 🚶‍♀️,positive
She planted her first seed 🌱,positive
He wrote 'I love you' 💌,positive
Helped grandma with groceries 🛒,positive
They danced in the rain 🌧️,positive
She counted to ten aloud 🔟,positive
He waved at the neighbors 👋,positive
We had popcorn and stories 🍿,positive
They hugged each other tight 🤝,positive
Baby clapped for the first time 👏,positive
She tied her own ponytail 🎀,positive
He set the table neatly 🍴,positive
Watched stars with dad 🌟,positive
She smiled in her sleep 😴,positive
He zipped his jacket alone 🧥,positive
A peaceful nap after lunch 💤,positive
Brushed his teeth 🪥,neutral
Ate lunch at noon 🍛,neutral
Tied her hair back 🎀,neutral
Put toys in the box 🧸,neutral
Read a book together 📖,neutral
Sat on the swing quietly 🪑,neutral
Poured milk into the glass 🥛,neutral
Looked out the window 🌤️,neutral
Held a crayon gently 🖍️,neutral
Took off shoes at door 🚪,neutral
Patted the cat softly 🐱,neutral
Watched clouds move ☁️,neutral
Closed the toy box 🧰,neutral
Turned off the light 💡,neutral
Counted fingers slowly ✋,neutral
Opened the fridge 🚪,neutral
Drank water quietly 🚰,neutral
Put on school shoes 👞,neutral
Arranged books in shelf 📚,neutral
Watered the garden plants 🌿,neutral
He cried after falling 😢,negative
She spilled water on bed 💧,negative
Fought over the blue car 🚗,negative
Dropped the bowl on floor 🍽️,negative
Didn’t want to eat lunch 😕,negative
Refused to nap 😠,negative
Scribbled on the table 🖊️,negative
Yelled during dinner 🍲,negative
Said no to everything 🙅,negative
Broke her toy accidentally 🧩,negative
He hit his brother 😔,negative
Slammed the door loudly 🚪,negative
Threw blocks on the floor 🧱,negative
Spilled juice on rug 🧃,negative
Tore the drawing paper 📝,negative
Kicked the ball indoors ⚽,negative
Got scared of thunder 🌩️,negative
Refused to wear shoes 👣,negative
Woke up crying 😭,negative
Bit his lip while chewing 😬,negative
She stepped on a toy painfully 😣,negative
He lost his water bottle 🍼,negative
Cried after losing a game 😢,negative
Got a paper cut 📄😖,negative
Broke his pencil in class ✏️😞,negative
She spilled paint on her dress 🎨😓,negative
Forgot his lunchbox at home 😟,negative
Argued with sister over TV 😤,negative
Missed the school bus 🚌😩,negative
Dropped the cake before party 🎂😫,negative
Baby woke up too early 🌅🥱,neutral
Waited at the bus stop 🚌,neutral
Picked a book from the shelf 📘,neutral
Sharpened a crayon tip 🖍️,neutral
Put a bandage on a cut 🩹,neutral
Counted marbles in a jar 🔵,neutral
Washed hands before lunch 🧼,neutral
Stared at the goldfish quietly 🐟,neutral
Stacked blocks one by one 🧊,neutral
Folded a drawing in half 📄,neutral
She hummed while drawing 🎶,positive
They smiled during storytime 📚,positive
He clapped for his friend 👏,positive
Hugged his puppy tightly 🐶,positive
She shared her crayons 🖍️,positive
Watched birds fly past 🐦,positive
They high-fived after the game ✋,positive
He helped pick up trash 🗑️,positive
They sang birthday song 🎂🎵,positive
She waved to grandpa 👋,positive
Sat quietly while waiting ⏳,neutral
Lined up at the school gate 🚶,neutral
Picked up a leaf 🍂,neutral
Folded her blanket neatly 🛏️,neutral
Looked at the wall clock 🕒,neutral
He handed out birthday cards 🎂,positive
They made paper boats together 🚤,positive
She zipped her bag 👜,neutral
He spilled her soup 🥣,negative
She helped set the table 🍽️,positive
We stood in a queue 🧍,neutral
He dropped his school bag 🎒,negative
We watched cartoons after dinner 📺,positive
She touched the mirror 🪞,neutral
They fought over crayons 🖍️,negative
He shared his juice box 🧃,positive
He looked at the fish tank 🐠,neutral
He yelled at his brother 😠,negative
They cleaned their room together 🧹,positive
